SESSION,ANIMAL_ID,grid_50m_ID,SO,SEX
4,FEGreen_1,742,22,0
4,MCBlue,742,22,1
4,FFYellow,625,23,0
4,FGWhite,851,23,0
4,MDRed,704,23,1
4,MFRed,929,23,1
4,MHYellow,703,23,1
4,FDGreen,779,24,0
4,FEGreen,742,24,0
4,MIRed,624,24,1
4,FDYellow,670,27,0
4,MDRed,669,27,1
4,MCBlue,663,28,1
4,MDGreen,702,28,1
4,MDRed,628,28,1
4,FCYellow,703,30,0
4,MDGreen,709,30,1
4,MFRed,774,30,1
4,MIRed,739,31,1
4,FDGreen,701,32,0
4,FGYellow,772,32,0
4,FHBlue,741,32,0
4,FHRed,701,32,0
4,FBYellow,781,33,0
4,FFYellow,627,33,0
4,MDGreen,631,33,1
4,FHBlue,704,34,0
4,FEGreen,821,37,0
4,MCBlue,701,37,1
4,MDRed,742,37,1
4,MIRed,704,37,1
4,FCYellow,702,38,0
